Symbol,Date,Company,Return,MKTCAP,TRI,TB90,PB,MktPrm
2,2010-03-01,frontier ceramics ltd,-0.002861,15352,0.25,0.39,2.00,-0.14
2,2010-04-01,frontier ceramics ltd,-0.25665,7316,0.72,0.39,20.00,0.33
2,2010-05-01,frontier ceramics ltd,0.259511,11556,0.654,0.39,19.00,0.264
2,2010-06-01,frontier ceramics ltd,-0.017291,6899,0.65,0.39,18.00,0.26
2,2010-07-01,frontier ceramics ltd,-0.24222,8345,254,0.39,16.00,253.61
2,2010-08-01,frontier ceramics ltd,0.071459,6963,0.6,0.39,2.00,0.21
2,2010-09-01,frontier ceramics ltd,0.153165,16633,0.3,0.39,10.00,-0.09
2,2010-10-01,frontier ceramics ltd,0.117125,9436,0.785,0.39,12.00,0.395
2,2010-11-01,frontier ceramics ltd,-0.528525,2808,0.452,0.39,20.00,0.062
2,2010-12-01,frontier ceramics ltd,0.073151,19138,0.452,0.39,6.00,0.062
2,2011-01-01,frontier ceramics ltd,-0.521952,4209,0.5832,1.25,13.00,-0.6668
2,2011-02-01,frontier ceramics ltd,0.335473,5546,0.683,1.25,11.00,-0.567
2,2011-03-01,frontier ceramics ltd,0.182322,11159,0.25,1.25,5.00,-1
2,2011-04-01,frontier ceramics ltd,0.080043,14329,0.72,1.25,2.00,-0.53
2,2011-05-01,frontier ceramics ltd,0.143101,16538,0.654,1.25,5.00,-0.596
2,2011-06-01,frontier ceramics ltd,-0.395515,6274,0.65,1.25,4.00,-0.6
2,2011-07-01,frontier ceramics ltd,0.23691,6124,254,1.25,10.00,252.75
2,2011-08-01,frontier ceramics ltd,-0.463773,7024,0.6,1.25,13.00,-0.65
2,2011-09-01,frontier ceramics ltd,0.191595,17753,0.3,1.25,20.00,-0.95
2,2011-10-01,frontier ceramics ltd,0.078859,18531,0.785,1.25,5.00,-0.465
2,2011-11-01,frontier ceramics ltd,-0.302002,14970,0.452,1.25,12.00,-0.798
2,2011-12-01,frontier ceramics ltd,0.297252,13832,0.452,1.25,15.00,-0.798
2,2012-01-01,frontier ceramics ltd,-0.211309,15362,0.5832,0.4,19.00,0.1832
2,2012-02-01,frontier ceramics ltd,0.648027,19631,0.683,0.4,15.00,0.283
2,2012-03-01,frontier ceramics ltd,-0.003082,16794,0.25,0.4,5.00,-0.15
2,2012-04-01,frontier ceramics ltd,0.252343,8927,0.72,0.4,10.00,0.32
2,2012-05-01,frontier ceramics ltd,-0.074662,1316,0.654,0.4,9.00,0.254
2,2012-06-01,frontier ceramics ltd,0.153043,9812,0.65,0.4,2.00,0.25
2,2012-07-01,frontier ceramics ltd,-0.253534,8343,254,0.4,18.00,253.6
2,2012-08-01,frontier ceramics ltd,0.082238,1755,0.6,0.4,19.00,0.2
2,2012-09-01,frontier ceramics ltd,-0.026668,19457,0.3,0.4,4.00,-0.1
2,2012-10-01,frontier ceramics ltd,0.272706,17989,0.785,0.4,3.00,0.385
2,2012-11-01,frontier ceramics ltd,-0.194744,8851,0.452,0.4,4.00,0.052
2,2012-12-01,frontier ceramics ltd,0.587787,10614,0.452,0.4,9.00,0.052
3,2010-01-01,Ashfaq textile mills,-0.061875,3978,0.5832,0.39,17.00,0.1932
3,2010-02-01,Ashfaq textile mills,-0.071656,29232,0.683,0.39,12.00,0.293
3,2010-03-01,Ashfaq textile mills,0.182322,21804,0.25,0.39,19.00,-0.14
3,2010-04-01,Ashfaq textile mills,-0.04879,25667,0.72,0.39,18.00,0.33
3,2010-05-01,Ashfaq textile mills,0.221142,15926,0.654,0.39,8.00,0.264
3,2010-06-01,Ashfaq textile mills,-0.158167,13329,0.65,0.39,19.00,0.26
3,2010-07-01,Ashfaq textile mills,-0.038282,24461,254,0.39,4.00,253.61
3,2010-08-01,Ashfaq textile mills,-0.024693,27693,0.6,0.39,16.00,0.21
3,2010-09-01,Ashfaq textile mills,0,19404,0.3,0.39,15.00,-0.09
3,2010-10-01,Ashfaq textile mills,0,17868,0.785,0.39,15.00,0.395
3,2010-11-01,Ashfaq textile mills,0,14406,0.452,0.39,17.00,0.062
3,2010-12-01,Ashfaq textile mills,0.221142,13726,0.452,0.39,1.00,0.062
3,2011-01-01,Ashfaq textile mills,0.180985,22068,0.5832,1.25,9.00,-0.6668
3,2011-02-01,Ashfaq textile mills,0,4321,0.683,1.25,9.00,-0.567
3,2011-03-01,Ashfaq textile mills,-0.094642,22156,0.25,1.25,10.00,-1
3,2011-04-01,Ashfaq textile mills,0.028988,1960,0.72,1.25,11.00,-0.53
3,2011-05-01,Ashfaq textile mills,-0.091567,14366,0.654,1.25,11.00,-0.596
3,2011-06-01,Ashfaq textile mills,-0.066759,19284,0.65,1.25,16.00,-0.6
3,2011-07-01,Ashfaq textile mills,-0.060363,29489,254,1.25,18.00,252.75
3,2011-08-01,Ashfaq textile mills,0.00222,20795,0.6,1.25,16.00,-0.65
3,2011-09-01,Ashfaq textile mills,0.122943,16716,0.3,1.25,7.00,-0.95
3,2011-10-01,Ashfaq textile mills,0.03089,6161,0.785,1.25,15.00,-0.465
3,2011-11-01,Ashfaq textile mills,0.532639,8134,0.452,1.25,1.00,-0.798
3,2011-12-01,Ashfaq textile mills,-0.052704,15078,0.452,1.25,5.00,-0.798
3,2012-01-01,Ashfaq textile mills,-0.060625,27096,0.5832,0.4,12.00,0.1832
3,2012-02-01,Ashfaq textile mills,0.117783,764,0.683,0.4,19.00,0.283
3,2012-03-01,Ashfaq textile mills,0.021979,17449,0.25,0.4,9.00,-0.15
3,2012-04-01,Ashfaq textile mills,0.163117,29897,0.72,0.4,12.00,0.32
3,2012-05-01,Ashfaq textile mills,-0.055042,25059,0.654,0.4,18.00,0.254
3,2012-06-01,Ashfaq textile mills,0.070618,9349,0.65,0.4,13.00,0.25
3,2012-07-01,Ashfaq textile mills,-0.02299,15374,254,0.4,15.00,253.6
3,2012-08-01,Ashfaq textile mills,-0.06237,26038,0.6,0.4,20.00,0.2
3,2012-09-01,Ashfaq textile mills,0.014742,4874,0.3,0.4,5.00,-0.1
3,2012-10-01,Ashfaq textile mills,0.09309,314,0.785,0.4,16.00,0.385
3,2012-11-01,Ashfaq textile mills,0.304211,11492,0.452,0.4,12.00,0.052
3,2012-12-01,Ashfaq textile mills,-0.078405,10952,0.452,0.4,15.00,0.052
4,2010-01-01,ideal spinning mills ltd,0.127262,24601,0.5832,0.39,9.00,0.1932
4,2010-02-01,ideal spinning mills ltd,0.491777,28682,0.683,0.39,17.00,0.293
4,2010-03-01,ideal spinning mills ltd,-0.262364,30242,0.25,0.39,8.00,-0.14
4,2010-04-01,ideal spinning mills ltd,0.623261,26134,0.72,0.39,7.00,0.33
4,2010-05-01,ideal spinning mills ltd,-0.217796,8096,0.654,0.39,20.00,0.264
4,2010-06-01,ideal spinning mills ltd,-0.006689,26067,0.65,0.39,4.00,0.26
4,2010-07-01,ideal spinning mills ltd,0.248327,37004,254,0.39,19.00,253.61
4,2010-08-01,ideal spinning mills ltd,0.033465,26278,0.6,0.39,19.00,0.21
4,2010-09-01,ideal spinning mills ltd,-0.135341,7714,0.3,0.39,18.00,-0.09
4,2010-10-01,ideal spinning mills ltd,0,38758,0.785,0.39,13.00,0.395
4,2010-11-01,ideal spinning mills ltd,0.011528,25404,0.452,0.39,7.00,0.062
4,2010-12-01,ideal spinning mills ltd,0.454846,19041,0.452,0.39,4.00,0.062
4,2011-01-01,ideal spinning mills ltd,0.557015,23775,0.5832,1.25,10.00,-0.6668
4,2011-02-01,ideal spinning mills ltd,-0.06565,19057,0.683,1.25,12.00,-0.567
4,2011-03-01,ideal spinning mills ltd,0.028511,6726,0.25,1.25,6.00,-1
4,2011-04-01,ideal spinning mills ltd,-0.077523,13509,0.72,1.25,5.00,-0.53
4,2011-05-01,ideal spinning mills ltd,-0.355341,39757,0.654,1.25,4.00,-0.596
4,2011-06-01,ideal spinning mills ltd,-0.354297,27102,0.65,1.25,12.00,-0.6
4,2011-07-01,ideal spinning mills ltd,-0.002378,21348,254,1.25,2.00,252.75
4,2011-08-01,ideal spinning mills ltd,-0.226124,29293,0.6,1.25,3.00,-0.65
4,2011-09-01,ideal spinning mills ltd,0.349184,36836,0.3,1.25,6.00,-0.95
4,2011-10-01,ideal spinning mills ltd,-0.37949,5415,0.785,1.25,13.00,-0.465
4,2011-11-01,ideal spinning mills ltd,0.076961,27438,0.452,1.25,9.00,-0.798
4,2011-12-01,ideal spinning mills ltd,-0.143759,34473,0.452,1.25,11.00,-0.798
4,2012-01-01,ideal spinning mills ltd,-0.00627,15656,0.5832,0.4,3.00,0.1832
4,2012-02-01,ideal spinning mills ltd,-0.025479,23383,0.683,0.4,4.00,0.283
4,2012-03-01,ideal spinning mills ltd,0.229574,30575,0.25,0.4,1.00,-0.15
4,2012-04-01,ideal spinning mills ltd,0.169418,26725,0.72,0.4,20.00,0.32
4,2012-05-01,ideal spinning mills ltd,-0.09531,26954,0.654,0.4,20.00,0.254
4,2012-06-01,ideal spinning mills ltd,0,37253,0.65,0.4,6.00,0.25
4,2012-07-01,ideal spinning mills ltd,0.041964,21261,254,0.4,3.00,253.6
4,2012-08-01,ideal spinning mills ltd,0.049008,39275,0.6,0.4,18.00,0.2
4,2012-09-01,ideal spinning mills ltd,-0.068372,1259,0.3,0.4,8.00,-0.1
4,2012-10-01,ideal spinning mills ltd,0.098353,27180,0.785,0.4,3.00,0.385
4,2012-11-01,ideal spinning mills ltd,-0.029981,38051,0.452,0.4,12.00,0.052
4,2012-12-01,ideal spinning mills ltd,0.13787,36070,0.452,0.4,7.00,0.052
5,2010-01-01,Idress textile mills,-0.094858,3351,0.5832,0.39,1.00,0.1932
5,2010-02-01,Idress textile mills,0.216154,13318,0.683,0.39,18.00,0.293
5,2010-03-01,Idress textile mills,-0.221142,5151,0.25,0.39,16.00,-0.14
5,2010-04-01,Idress textile mills,0.072321,12933,0.72,0.39,16.00,0.33
5,2010-05-01,Idress textile mills,-0.205852,47165,0.654,0.39,17.00,0.264
5,2010-06-01,Idress textile mills,0.120953,47445,0.65,0.39,7.00,0.26
5,2010-07-01,Idress textile mills,0.049393,10156,254,0.39,20.00,253.61
5,2010-08-01,Idress textile mills,-0.036814,8770,0.6,0.39,13.00,0.21
5,2010-09-01,Idress textile mills,0.115558,31027,0.3,0.39,8.00,-0.09
5,2010-10-01,Idress textile mills,-0.30793,35295,0.785,0.39,5.00,0.395
5,2010-11-01,Idress textile mills,-0.030772,17128,0.452,0.39,11.00,0.062
5,2010-12-01,Idress textile mills,0.103797,12520,0.452,0.39,6.00,0.062
5,2011-01-01,Idress textile mills,0.025318,24917,0.5832,1.25,17.00,-0.6668
5,2011-02-01,Idress textile mills,0.223144,37962,0.683,1.25,5.00,-0.567
5,2011-03-01,Idress textile mills,-0.143101,28709,0.25,1.25,1.00,-1
5,2011-04-01,Idress textile mills,0,2552,0.72,1.25,8.00,-0.53
5,2011-05-01,Idress textile mills,0.136412,23938,0.654,1.25,4.00,-0.596
5,2011-06-01,Idress textile mills,0.071228,11474,0.65,1.25,3.00,-0.6
5,2011-07-01,Idress textile mills,-0.064539,20731,254,1.25,10.00,252.75
5,2011-08-01,Idress textile mills,-0.033902,14319,0.6,1.25,19.00,-0.65
5,2011-09-01,Idress textile mills,0.066691,17925,0.3,1.25,15.00,-0.95
5,2011-10-01,Idress textile mills,-0.215111,33300,0.785,1.25,11.00,-0.465
5,2011-11-01,Idress textile mills,0.127513,36986,0.452,1.25,4.00,-0.798
5,2011-12-01,Idress textile mills,-0.340707,8582,0.452,1.25,15.00,-0.798
5,2012-01-01,Idress textile mills,0.140905,27994,0.5832,0.4,13.00,0.1832
5,2012-02-01,Idress textile mills,0.126003,5071,0.683,0.4,5.00,0.283
5,2012-03-01,Idress textile mills,0.14729,425,0.25,0.4,2.00,-0.15
5,2012-04-01,Idress textile mills,0.265703,20503,0.72,0.4,17.00,0.32
5,2012-05-01,Idress textile mills,0.259797,29140,0.654,0.4,3.00,0.254
5,2012-06-01,Idress textile mills,-0.019468,26368,0.65,0.4,2.00,0.25
5,2012-07-01,Idress textile mills,-0.041478,24016,254,0.4,11.00,253.6
5,2012-08-01,Idress textile mills,0,10088,0.6,0.4,4.00,0.2
5,2012-09-01,Idress textile mills,-0.146891,8960,0.3,0.4,19.00,-0.1
5,2012-10-01,Idress textile mills,0.123393,17744,0.785,0.4,13.00,0.385
5,2012-11-01,Idress textile mills,0.678353,46527,0.452,0.4,7.00,0.052
5,2012-12-01,Idress textile mills,0.18716,32060,0.452,0.4,18.00,0.052
6,2010-01-01,Chakwal spinning mills,-0.371064,31059,0.5832,0.39,16.00,0.1932
6,2010-02-01,Chakwal spinning mills,0.14792,34423,0.683,0.39,12.00,0.293
6,2010-03-01,Chakwal spinning mills,-0.064539,35663,0.25,0.39,11.00,-0.14
6,2010-04-01,Chakwal spinning mills,0.806476,9242,0.72,0.39,9.00,0.33
6,2010-05-01,Chakwal spinning mills,-0.336472,3568,0.654,0.39,11.00,0.264
6,2010-06-01,Chakwal spinning mills,-0.470004,1696,0.65,0.39,7.00,0.26
6,2010-07-01,Chakwal spinning mills,0.929536,11457,254,0.39,5.00,253.61
6,2010-08-01,Chakwal spinning mills,-0.41871,50848,0.6,0.39,11.00,0.21
6,2010-09-01,Chakwal spinning mills,0,12837,0.3,0.39,15.00,-0.09
6,2010-10-01,Chakwal spinning mills,0.34217,20794,0.785,0.39,20.00,0.395
6,2010-11-01,Chakwal spinning mills,-0.470004,3784,0.452,0.39,1.00,0.062
6,2010-12-01,Chakwal spinning mills,0.061694,42677,0.452,0.39,4.00,0.062
6,2011-01-01,Chakwal spinning mills,-0.151465,18558,0.74744479,1.25,13.00,-0.50255521
6,2011-02-01,Chakwal spinning mills,-0.005946,9632,0.777758293,1.25,4.00,-0.472241707
6,2011-03-01,Chakwal spinning mills,0.051343,55806,0.015692406,1.25,11.00,-1.234307594
6,2011-04-01,Chakwal spinning mills,-0.05433,3987,0.343254442,1.25,1.00,-0.906745558
6,2011-05-01,Chakwal spinning mills,-0.078258,33255,0.695048734,1.25,8.00,-0.554951266
6,2011-06-01,Chakwal spinning mills,-0.208428,10246,0.002000535,1.25,6.00,-1.247999465
6,2011-07-01,Chakwal spinning mills,-0.147093,24407,0.255852254,1.25,17.00,-0.994147746
6,2011-08-01,Chakwal spinning mills,-0.128708,7231,0.062630036,1.25,7.00,-1.187369964
6,2011-09-01,Chakwal spinning mills,0.075794,59998,0.351098799,1.25,13.00,-0.898901201
6,2011-10-01,Chakwal spinning mills,0.303972,65,0.950898961,1.25,20.00,-0.299101039
6,2011-11-01,Chakwal spinning mills,-0.043419,27813,0.99064844,1.25,7.00,-0.25935156
6,2011-12-01,Chakwal spinning mills,0,24194,0.443684805,1.25,12.00,-0.806315195
6,2012-01-01,Chakwal spinning mills,0.102654,41410,0.306412642,0.4,6.00,-0.093587358
6,2012-02-01,Chakwal spinning mills,-0.019705,44939,0.836423828,0.4,5.00,0.436423828
6,2012-03-01,Chakwal spinning mills,0.090323,58176,0.087011517,0.4,16.00,-0.312988483
6,2012-04-01,Chakwal spinning mills,0.139762,58281,0.884387129,0.4,16.00,0.484387129
6,2012-05-01,Chakwal spinning mills,0.050107,55123,0.309657235,0.4,12.00,-0.090342765
6,2012-06-01,Chakwal spinning mills,-0.102857,29694,0.125300009,0.4,14.00,-0.274699991
6,2012-07-01,Chakwal spinning mills,0.040822,23005,0.600052932,0.4,3.00,0.200052932
6,2012-08-01,Chakwal spinning mills,0.215111,43522,0.695239035,0.4,14.00,0.295239035
6,2012-09-01,Chakwal spinning mills,-0.149324,26099,0.641641422,0.4,9.00,0.241641422
6,2012-10-01,Chakwal spinning mills,0.096331,58833,0.812709417,0.4,18.00,0.412709417
6,2012-11-01,Chakwal spinning mills,0.130551,2316,0.851334114,0.4,10.00,0.451334114
6,2012-12-01,Chakwal spinning mills,0.338602,54013,0.085661007,0.4,18.00,-0.314338993
7,2010-01-01,Sana industries ltd,-0.023662,15695,0.5832,0.39,4.00,0.1932
7,2010-02-01,Sana industries ltd,-0.007067,17105,0.683,0.39,1.00,0.293
7,2010-03-01,Sana industries ltd,-0.011412,44559,0.25,0.39,14.00,-0.14
7,2010-04-01,Sana industries ltd,0.006008,53948,0.72,0.39,15.00,0.33
7,2010-05-01,Sana industries ltd,-0.138679,42361,0.654,0.39,13.00,0.264
7,2010-06-01,Sana industries ltd,0.015282,999,0.65,0.39,18.00,0.26
7,2010-07-01,Sana industries ltd,0.042949,33140,254,0.39,16.00,253.61
7,2010-08-01,Sana industries ltd,-0.062171,60400,0.6,0.39,6.00,0.21
7,2010-09-01,Sana industries ltd,0.217602,21425,0.3,0.39,6.00,-0.09
7,2010-10-01,Sana industries ltd,-0.196768,21421,0.785,0.39,19.00,0.395
7,2010-11-01,Sana industries ltd,0.209912,10510,0.452,0.39,9.00,0.062
7,2010-12-01,Sana industries ltd,0.184322,60803,0.452,0.39,16.00,0.062
7,2011-01-01,Sana industries ltd,-0.014185,1769,0.228931789,1.25,14.00,-1.021068211
7,2011-02-01,Sana industries ltd,-0.028988,35814,0.52810507,1.25,19.00,-0.72189493
7,2011-03-01,Sana industries ltd,0.514935,30574,0.39260403,1.25,13.00,-0.85739597
7,2011-04-01,Sana industries ltd,-0.127274,60801,0.828995293,1.25,15.00,-0.421004707
7,2011-05-01,Sana industries ltd,-0.024244,50677,0.126081249,1.25,8.00,-1.123918751
7,2011-06-01,Sana industries ltd,-0.117016,26269,0.875391992,1.25,5.00,-0.374608008
7,2011-07-01,Sana industries ltd,0.108803,15527,0.80273902,1.25,1.00,-0.44726098
7,2011-08-01,Sana industries ltd,-0.097374,60175,0.605717742,1.25,7.00,-0.644282258
7,2011-09-01,Sana industries ltd,0.178526,36215,0.554737705,1.25,9.00,-0.695262295
7,2011-10-01,Sana industries ltd,-0.164982,67750,0.472846769,1.25,18.00,-0.777153231
7,2011-11-01,Sana industries ltd,-0.200422,69469,0.584269769,1.25,11.00,-0.665730231
7,2011-12-01,Sana industries ltd,0.16156,34858,0.47199839,1.25,20.00,-0.77800161
7,2012-01-01,Sana industries ltd,0.129812,17753,0.714314638,0.4,6.00,0.314314638
7,2012-02-01,Sana industries ltd,-0.139762,31935,0.900478844,0.4,18.00,0.500478844
7,2012-03-01,Sana industries ltd,0.239017,10176,0.801612597,0.4,2.00,0.401612597
7,2012-04-01,Sana industries ltd,0.428812,46262,0.102762189,0.4,15.00,-0.297237811
7,2012-05-01,Sana industries ltd,0.220062,40918,0.301006261,0.4,6.00,-0.098993739
7,2012-06-01,Sana industries ltd,0.13456,34671,0.005409702,0.4,13.00,-0.394590298
7,2012-07-01,Sana industries ltd,-0.055467,38702,0.772786772,0.4,20.00,0.372786772
7,2012-08-01,Sana industries ltd,0.114821,13452,0.18959515,0.4,15.00,-0.21040485
7,2012-09-01,Sana industries ltd,-0.041528,50675,0.85538054,0.4,7.00,0.45538054
7,2012-10-01,Sana industries ltd,0.346018,38275,0.58808154,0.4,15.00,0.18808154
7,2012-11-01,Sana industries ltd,0.683097,24094,0.627860975,0.4,6.00,0.227860975
7,2012-12-01,Sana industries ltd,0.040822,15748,0.697987907,0.4,4.00,0.297987907
8,2010-01-01,Hum network ltd,-0.086793,61555,0.5832,0.39,12.00,0.1932
8,2010-02-01,Hum network ltd,0.013398,25392,0.683,0.39,16.00,0.293
8,2010-03-01,Hum network ltd,-0.00185,43839,0.25,0.39,8.00,-0.14
8,2010-04-01,Hum network ltd,-0.036971,3164,0.72,0.39,7.00,0.33
8,2010-05-01,Hum network ltd,-0.190813,7539,0.654,0.39,3.00,0.264
8,2010-06-01,Hum network ltd,0.076961,19014,0.65,0.39,7.00,0.26
8,2010-07-01,Hum network ltd,-0.072321,42887,254,0.39,13.00,253.61
8,2010-08-01,Hum network ltd,0.045257,67691,0.6,0.39,13.00,0.21
8,2010-09-01,Hum network ltd,-0.106837,8599,0.3,0.39,4.00,-0.09
8,2010-10-01,Hum network ltd,0.028636,58303,0.785,0.39,17.00,0.395
8,2010-11-01,Hum network ltd,0.067077,54562,0.452,0.39,15.00,0.062
8,2010-12-01,Hum network ltd,0.052299,70629,0.452,0.39,10.00,0.062
8,2011-01-01,Hum network ltd,-0.030077,670,0.392581568,1.25,13.00,-0.857418432
8,2011-02-01,Hum network ltd,0.548283,46572,0.998412226,1.25,8.00,-0.251587774
8,2011-03-01,Hum network ltd,-0.358778,56766,0.859166505,1.25,10.00,-0.390833495
8,2011-04-01,Hum network ltd,0.298153,67215,0.626009258,1.25,1.00,-0.623990742
8,2011-05-01,Hum network ltd,0.089612,29809,0.696790359,1.25,1.00,-0.553209641
8,2011-06-01,Hum network ltd,-0.464306,67974,0.742900447,1.25,2.00,-0.507099553
8,2011-07-01,Hum network ltd,-0.060909,67318,0.532670458,1.25,14.00,-0.717329542
8,2011-08-01,Hum network ltd,-0.08833,19946,0.595959103,1.25,17.00,-0.654040897
8,2011-09-01,Hum network ltd,0.516089,75385,0.984920858,1.25,12.00,-0.265079142
8,2011-10-01,Hum network ltd,-0.42294,48104,0.390842313,1.25,14.00,-0.859157687
8,2011-11-01,Hum network ltd,-0.041724,19515,0.932994316,1.25,17.00,-0.317005684
8,2011-12-01,Hum network ltd,-0.131028,10174,0.254642069,1.25,17.00,-0.995357931
8,2012-01-01,Hum network ltd,0.333805,66245,0.952737781,0.4,20.00,0.552737781
8,2012-02-01,Hum network ltd,-0.061982,42002,0.030581356,0.4,8.00,-0.369418644
8,2012-03-01,Hum network ltd,0.230576,60229,0.519853554,0.4,17.00,0.119853554
8,2012-04-01,Hum network ltd,-0.062566,32055,0.908716753,0.4,3.00,0.508716753
8,2012-05-01,Hum network ltd,0.07239,74602,0.375508195,0.4,17.00,-0.024491805
8,2012-06-01,Hum network ltd,0.07011,59469,0.332581576,0.4,9.00,-0.067418424
8,2012-07-01,Hum network ltd,0.035809,18470,0.080221329,0.4,9.00,-0.319778671
8,2012-08-01,Hum network ltd,0.088894,32777,0.4064308,0.4,15.00,0.0064308
8,2012-09-01,Hum network ltd,0.076322,32331,0.559787475,0.4,7.00,0.159787475
8,2012-10-01,Hum network ltd,-0.114991,64334,0.440198861,0.4,6.00,0.040198861
8,2012-11-01,Hum network ltd,0.384945,34926,0.701410081,0.4,13.00,0.301410081
8,2012-12-01,Hum network ltd,-0.212027,12477,0.516539259,0.4,20.00,0.116539259
9,2010-01-01,crescent fibers ltd,0.028988,18935,0.5832,0.39,20.00,0.1932
9,2010-02-01,crescent fibers ltd,0.439544,19027,0.683,0.39,3.00,0.293
9,2010-03-01,crescent fibers ltd,-0.020834,77798,0.25,0.39,1.00,-0.14
9,2010-04-01,crescent fibers ltd,0.173511,84344,0.72,0.39,1.00,0.33
9,2010-05-01,crescent fibers ltd,-0.20871,38621,0.654,0.39,7.00,0.264
9,2010-06-01,crescent fibers ltd,-0.442352,82508,0.65,0.39,16.00,0.26
9,2010-07-01,crescent fibers ltd,0.618293,50638,254,0.39,11.00,253.61
9,2010-08-01,crescent fibers ltd,-0.118436,75611,0.6,0.39,6.00,0.21
9,2010-09-01,crescent fibers ltd,0.097314,54997,0.3,0.39,15.00,-0.09
9,2010-10-01,crescent fibers ltd,-0.375239,25804,0.785,0.39,5.00,0.395
9,2010-11-01,crescent fibers ltd,0.092659,58323,0.452,0.39,15.00,0.062
9,2010-12-01,crescent fibers ltd,0.148573,1273,0.452,0.39,7.00,0.062
9,2011-01-01,crescent fibers ltd,-0.108214,19256,0.875242774,1.25,4.00,-0.374757226
9,2011-02-01,crescent fibers ltd,0.014185,48615,0.406120344,1.25,2.00,-0.843879656
9,2011-03-01,crescent fibers ltd,0,2132,0.313675829,1.25,8.00,-0.936324171
9,2011-04-01,crescent fibers ltd,0,68367,0.044438464,1.25,16.00,-1.205561536
9,2011-05-01,crescent fibers ltd,0,24192,0.282205654,1.25,9.00,-0.967794346
9,2011-06-01,crescent fibers ltd,0,84217,0.194260147,1.25,10.00,-1.055739853
9,2011-07-01,crescent fibers ltd,-0.151806,51712,0.710230656,1.25,19.00,-0.539769344
9,2011-08-01,crescent fibers ltd,0,9129,0.062062601,1.25,5.00,-1.187937399
9,2011-09-01,crescent fibers ltd,0,29078,0.735592965,1.25,11.00,-0.514407035
